ID_FALLA;FALLA_ID;FALLA;DESCRIPCION_FALLA;LOCALIZACION_FALLA;TIPIFICACION_FALLA;FALLA_REAL;IMPUTABILIDAD;INTERFAZ;MAL_ESCALADO_TERRENO;GRUPO_FALLA;FECHA_INICIO;FECHA_FIN;VERTICAL;NIVEL_2_VERTICAL;NIVEL_3_VERTICAL
69;B0958;958;FALTA PUERTOS  (INTERNET);Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
70;B0959;959;CONFIGURACION  MODEM  183- (SOFT-INTERNET);Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.207;NULL;Equipo;Configuracion Equipos;Configuracion de modem
71;B0960;960;MODEM QUEMADO  (INTERNET);Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.723;NULL;Equipo;Inconveniente Equipo;Inconveniente con modem
72;B0961;961;SOFTWARE PC   (INTERNET)- CON VISITA;Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
73;B0962;962;MODIFICACIÓN DE SOFTWARE  (INTERNET);Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
74;B0964;964;ACTI/DESAC SERVICIOS ESPECIALES;Sin Descripcion;Sin Descripcion;Sin Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
75;B0976;976;RECONFIGURACIÓN DE PUERTO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;SI;Reconfiguración Equipo/Puerto;2017-06-18 14:42:38.163;NULL;Plataforma TigoUne;Plataforma TI;Servicio Desaprovisionado
76;B0978;978;RESET AL MÓDEM REMOTO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;SI;Reinicio de Equipo;2017-06-18 14:42:38.653;NULL;Equipo;Reset;Reset al Modem
77;B0979;979;RECONFIGURACIÓN DEL MÓDEM REMOTO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;SI;Reconfiguración Equipo/Puerto;2017-06-18 14:42:38.123;NULL;Equipo;Configuracion Equipos;Configuracion de modem
78;B0980;980;RESET ROUTER / PLANTA (CLIENTE);Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.750;NULL;Cliente;Equipos Cliente;Hardware De Usuario
79;B0986;986;RECONFIGURACIÓN DE TA (CLIENTE);Sin Descripcion;Sin Descripcion;Con Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.340;NULL;Equipo;Configuracion Equipos;Configuracion de modem
